Date,BTC_Yield,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2015/4/1,0.012480,0,0,1,0,0,0,0
2015/4/2,0.023185,0,0,0,1,0,0,0
2015/4/3,0.005205,0,0,0,0,1,0,0
2015/4/4,-0.002458,0,0,0,0,0,1,0
2015/4/5,0.027202,0,0,0,0,0,0,1
2015/4/6,-0.019593,1,0,0,0,0,0,0
2015/4/7,-0.009049,0,1,0,0,0,0,0
2015/4/8,-0.032222,0,0,1,0,0,0,0
2015/4/9,-0.005493,0,0,0,1,0,0,0
2015/4/10,-0.031205,0,0,0,0,1,0,0
2015/4/11,0.002033,0,0,0,0,0,1,0
2015/4/12,-0.001687,0,0,0,0,0,0,1
2015/4/13,-0.048977,1,0,0,0,0,0,0
2015/4/14,-0.024169,0,1,0,0,0,0,0
2015/4/15,0.021327,0,0,1,0,0,0,0
2015/4/16,0.021177,0,0,0,1,0,0,0
2015/4/17,-0.024898,0,0,0,0,1,0,0
2015/4/18,0.002127,0,0,0,0,0,1,0
2015/4/19,-0.003385,0,0,0,0,0,0,1
2015/4/20,0.009102,1,0,0,0,0,0,0
2015/4/21,0.047381,0,1,0,0,0,0,0
2015/4/22,-0.004646,0,0,1,0,0,0,0
2015/4/23,0.009762,0,0,0,1,0,0,0
2015/4/24,-0.021965,0,0,0,0,1,0,0
2015/4/25,-0.021092,0,0,0,0,0,1,0
2015/4/26,-0.030743,0,0,0,0,0,0,1
2015/4/27,0.044916,1,0,0,0,0,0,0
2015/4/28,-0.014964,0,1,0,0,0,0,0
2015/4/29,-0.000208,0,0,1,0,0,0,0
2015/4/30,0.045778,0,0,0,1,0,0,0
2015/5/1,-0.017218,0,0,0,0,1,0,0
2015/5/2,0.012285,0,0,0,0,0,1,0
2015/5/3,0.023105,0,0,0,0,0,0,1
2015/5/4,-0.005575,1,0,0,0,0,0,0
2015/5/5,-0.012120,0,1,0,0,0,0,0
2015/5/6,-0.026846,0,0,1,0,0,0,0
2015/5/7,0.032866,0,0,0,1,0,0,0
2015/5/8,0.027510,0,0,0,0,1,0,0
2015/5/9,-0.008328,0,0,0,0,0,1,0
2015/5/10,-0.006352,0,0,0,0,0,0,1
2015/5/11,0.007749,1,0,0,0,0,0,0
2015/5/12,-0.004320,0,1,0,0,0,0,0
2015/5/13,-0.019638,0,0,1,0,0,0,0
2015/5/14,0.002335,0,0,0,1,0,0,0
2015/5/15,0.002853,0,0,0,0,1,0,0
2015/5/16,-0.006111,0,0,0,0,0,1,0
2015/5/17,0.002748,0,0,0,0,0,0,1
2015/5/18,-0.015515,1,0,0,0,0,0,0
