Date,Google,BTC_Close,Tweets
2015/3/31,82,244.223999,35388
2015/4/1,84,247.272003,34237
2015/4/2,74,253.005005,29264
2015/4/3,76,254.322006,30317
2015/4/4,73,253.697006,37885
2015/4/5,82,260.597992,29227
2015/4/6,78,255.492004,29046
2015/4/7,82,253.179993,29994
2015/4/8,83,245.022003,37076
2015/4/9,83,243.675995,37353
2015/4/10,78,236.072006,28657
2015/4/11,76,236.552002,27225
2015/4/12,70,236.153,25877
2015/4/13,78,224.587006,29205
2015/4/14,78,219.158997,30124
2015/4/15,74,223.832993,28598
2015/4/16,72,228.572998,34517
2015/4/17,75,222.882004,28275
2015/4/18,71,223.356003,25659
2015/4/19,71,222.600006,26993
2015/4/20,74,224.626007,28470
2015/4/21,78,235.268997,32701
2015/4/22,80,234.175995,30895
2015/4/23,73,236.462006,30202
2015/4/24,73,231.268005,35266
2015/4/25,70,226.389999,25715
2015/4/26,71,219.429993,36471
2015/4/27,75,229.285995,39066
2015/4/28,76,225.854996,31957
2015/4/29,72,225.807999,30639
2015/4/30,77,236.145004,29720
2015/5/1,70,232.078995,27237
2015/5/2,66,234.929993,25012
2015/5/3,67,240.358002,27042
2015/5/4,69,239.018005,29448
2015/5/5,72,236.121002,27820
2015/5/6,74,229.781998,29624
2015/5/7,70,237.334,27526
2015/5/8,74,243.863007,25655
2015/5/9,64,241.832001,23791
2015/5/10,66,240.296005,31503
2015/5/11,72,242.158005,32317
2015/5/12,71,241.112,30635
2015/5/13,76,236.376999,30934
2015/5/14,91,236.929001,31708
2015/5/15,72,237.604996,42997
2015/5/16,70,236.153,32407
2015/5/17,74,236.802002,32810
2015/5/18,75,233.128006,34624
2015/5/19,78,231.947006,34750
2015/5/20,83,234.018005,30108
2015/5/21,76,235.343994,27578
2015/5/22,72,240.348007,29926
2015/5/23,67,238.871994,27166
2015/5/24,70,240.953003,27968
2015/5/25,78,237.110001,30637
2015/5/26,76,237.115997,34578
2015/5/27,76,237.283005,29218
2015/5/28,67,237.408005,23591
2015/5/29,78,237.095993,24045
2015/5/30,87,233.345001,23844
2015/5/31,78,230.190002,24048
2015/6/1,76,222.925995,27087
2015/6/2,74,225.802994,28566
2015/6/3,76,225.873993,34732
2015/6/4,75,224.324005,76661
2015/6/5,69,224.951996,28700
2015/6/6,70,225.619003,27936
2015/6/7,71,222.880997,26086
2015/6/8,67,228.488998,46002
2015/6/9,73,229.048004,43106
2015/6/10,71,228.802994,26645
2015/6/11,74,229.705002,52355
2015/6/12,73,229.981995,36988
2015/6/13,64,232.401993,21875
2015/6/14,71,233.542999,46935
2015/6/15,71,236.822998,28128
2015/6/16,78,250.895004,84152
2015/6/17,82,249.283997,35914
2015/6/18,130,249.007004,38557
2015/6/19,85,244.606003,28107
2015/6/20,91,245.212006,25438
2015/6/21,74,243.944,23500
2015/6/22,74,246.990005,27394
2015/6/23,76,244.296005,28352
2015/6/24,73,240.514999,36725
2015/6/25,76,242.798996,26008
2015/6/26,70,243.593994,23984
2015/6/27,71,250.990005,23636
2015/6/28,83,249.011002,25663
2015/6/29,88,257.063995,40197
2015/6/30,110,263.071991,33375
2015/7/1,90,258.621002,29052
2015/7/2,85.26315789,255.412003,27119
2015/7/3,86.84210526,256.335999,25771
2015/7/4,90,260.885986,23847
2015/7/5,88.42105263,271.912994,24976
2015/7/6,105.7894737,269.029999,36903
2015/7/7,93.15789474,266.207001,29915
2015/7/8,116.8421053,270.785004,36474
2015/7/9,102.6315789,269.227997,30281
2015/7/10,115.2631579,284.894012,29616
2015/7/11,110.5263158,293.11499,24645
2015/7/12,115.2631579,310.867004,26775
2015/7/13,105.7894737,292.053986,42326
2015/7/14,99.47368421,287.463989,50267
2015/7/15,93.15789474,285.82901,38595
2015/7/16,94.73684211,278.088989,35125
2015/7/17,90,279.471985,29831
2015/7/18,86.84210526,274.901001,25985
2015/7/19,88.42105263,273.614014,25071
2015/7/20,90,278.980988,36888
2015/7/21,88.42105263,275.833008,30095
2015/7/22,83.68421053,277.221985,44651
2015/7/23,78.94736842,276.049011,33408
2015/7/24,90,288.278015,28664
2015/7/25,85.26315789,288.696991,21076
2015/7/26,83.68421053,292.686005,15592
2015/7/27,93.15789474,293.623993,30972
2015/7/28,108.9473684,294.427002,33519
2015/7/29,94.73684211,289.589996,37726
2015/7/30,93.15789474,287.721985,33018
2015/7/31,91.57894737,284.649994,27789
2015/8/1,131.0526316,281.601013,26960
2015/8/2,102.6315789,282.614014,24294
2015/8/3,101.0526316,281.22699,25036
2015/8/4,101.0526316,285.217987,34486
2015/8/5,94.73684211,281.881989,31470
2015/8/6,93.15789474,278.576996,35658
2015/8/7,90,279.584991,47467
2015/8/8,91.57894737,260.997009,29031
2015/8/9,91.57894737,265.083008,27132
2015/8/10,96.31578947,264.470001,27744
2015/8/11,104.2105263,270.385986,26653
2015/8/12,99.47368421,266.376007,29241
2015/8/13,94.73684211,264.079987,31087
2015/8/14,80.52631579,265.679993,30737
2015/8/15,77.36842105,261.550995,28722
2015/8/16,82.10526316,258.506989,24050
2015/8/17,85.26315789,257.976013,37040
2015/8/18,91.57894737,211.078995,28767
2015/8/19,112.1052632,226.684006,28539
2015/8/20,94.73684211,235.350006,36462
2015/8/21,90,232.569,39012
2015/8/22,85.26315789,230.389999,34967
2015/8/23,85.26315789,228.169006,27692
2015/8/24,108.9473684,210.494995,34342
2015/8/25,107.3684211,221.608994,37941
2015/8/26,86.84210526,225.830994,33987
2015/8/27,80.52631579,224.768997,34558
2015/8/28,85.26315789,231.395996,39945
2015/8/29,74.21052632,229.779999,14768
2015/8/30,78.94736842,228.761002,32134
2015/8/31,75.78947368,230.056,35949
2015/9/1,80.52631579,228.121002,37021
2015/9/2,102.6315789,229.283997,39013
2015/9/3,91.57894737,227.182999,42474
2015/9/4,90,230.298004,36321
2015/9/5,94.73684211,235.018997,29023
2015/9/6,90,239.839996,35583
2015/9/7,150,239.847,38792
2015/9/8,153.1578947,243.606995,46889
2015/9/9,143.6842105,238.167999,16909
2015/9/10,116.8421053,238.477005,37882
2015/9/11,96.31578947,240.106995,38518
2015/9/12,94.73684211,235.229004,32205
2015/9/13,86.84210526,230.511993,40350
2015/9/14,86.84210526,230.643997,16262
2015/9/15,83.68421053,230.304001,20470
