Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH,Oil,S&P500,DJI,NASDAQ
2015/3/31,247.453995,248.729996,242.738998,244.223999,#N/A,47.6,2067.89,17776.12,4900.879883
2015/4/1,244.223007,247.541,241.160004,247.272003,#N/A,50.09,2059.69,17698.18,4880.22998
2015/4/2,247.089005,254.460999,245.416,253.005005,#N/A,49.14,2066.96,17763.24,4886.939941
2015/4/3,253.074005,256.042999,251.878998,254.322006,#N/A,49.14,#N/A,#N/A,#N/A
2015/4/4,254.291,255.257996,251.100006,253.697006,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/5,253.761002,260.674988,251.942001,260.597992,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/6,260.721008,261.798004,254.574997,255.492004,#N/A,52.14,2080.62,17880.85,4917.319824
2015/4/7,255.274002,255.804993,252.205002,253.179993,#N/A,53.98,2076.33,17875.42,4910.22998
2015/4/8,253.063995,253.847,244.214996,245.022003,#N/A,50.42,2081.9,17902.51,4950.819824
2015/4/9,244.751007,246.117996,239.399994,243.675995,#N/A,50.79,2091.18,17958.73,4974.560059
2015/4/10,243.694,243.694,232.770996,236.072006,#N/A,51.64,2102.06,18057.65,4995.97998
2015/4/11,236.016006,239.537003,234.175003,236.552002,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/12,236.535004,237.727997,233.494995,236.153,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/13,235.949997,236.934998,221.996002,224.587006,#N/A,51.91,2092.43,17977.04,4988.25
2015/4/14,224.759003,224.975998,216.322998,219.158997,#N/A,53.29,2095.84,18036.7,4977.290039
2015/4/15,219.072998,223.832993,218.649002,223.832993,#N/A,56.39,2106.63,18112.61,5011.02002
2015/4/16,223.917007,229.671997,223.917007,228.572998,#N/A,56.71,2104.99,18105.77,5007.790039
2015/4/17,228.574997,228.906006,221.942001,222.882004,#N/A,55.74,2081.18,17826.3,4931.810059
2015/4/18,222.852997,224.315994,220.876007,223.356003,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/19,223.455994,226.352997,222.373001,222.600006,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/20,222.612,226.350998,221.977005,224.626007,#N/A,56.38,2100.4,18034.93,4994.600098
2015/4/21,224.619995,235.268997,224.300995,235.268997,#N/A,55.26,2097.29,17949.59,5014.100098
2015/4/22,235.602005,237.908997,233.475998,234.175995,#N/A,56.16,2107.96,18038.27,5035.169922
2015/4/23,234.052994,236.475006,233.199005,236.462006,#N/A,57.74,2112.93,18058.69,5056.060059
2015/4/24,235.970001,236.304993,229.932999,231.268005,#N/A,57.15,2117.69,18080.14,5092.080078
2015/4/25,231.235001,232.561005,226.337006,226.389999,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/26,226.410004,226.944,214.873993,219.429993,#N/A,#N/A,#N/A,#N/A,#N/A
2015/4/27,219.429001,233.304993,218.022995,229.285995,#N/A,56.99,2108.92,18037.97,5060.25
